Time,Container,From,To,CTMType
11/30/2021 9:17,BMOU5914823,RTG17,NN1_222_C_5,CheToStack
11/30/2021 9:19,SMCU9500203,RTG16,332151,CheToTruck
11/30/2021 9:19,FSCU8852168,RTG17,254422,CheToTruck
11/30/2021 9:20,S0025364909,RTG24,DD1_210_A_4,CheToStack
11/30/2021 9:21,BMOU5914823,RTG17,NN1_222_D_1,CheToStack
11/30/2021 9:21,S0025364938,RTG24,138786,CheToTruck
11/30/2021 9:21,CAIU6593796,RTG27,EE5_531_C_3,CheToStack
11/30/2021 9:22,MSMU5613629,RTG25,DD6_666_C_4,CheToStack
11/30/2021 9:23,SZLU9263269,RTG23,EE1_190_F_2,CheToStack
11/30/2021 9:23,MSDU9811122,RTG17,NN1_214_F_1,CheToStack
11/30/2021 9:23,SMCU9500902,RTG16,315164,CheToTruck
11/30/2021 9:24,CLHU4519948,RTG17,351166,CheToTruck
11/30/2021 9:24,MVIU0031239,RTG25,115111,CheToTruck
11/30/2021 9:24,FFAU4164896,RTG23,332064,CheToTruck
11/30/2021 9:25,DRYU2250212,RTG27,162750,CheToTruck
11/30/2021 9:26,TCNU8142054,RTG21,359064,CheToTruck
11/30/2021 9:26,S0025365011,RTG26,348111,CheToTruck
11/30/2021 9:27,SMCU1216551,RTG16,89656,CheToTruck
11/30/2021 9:27,MRSU4543893,RTG22,MM5_490_A_4,CheToStack
11/30/2021 9:27,MSDU7855754,RTG17,NN1_186_E_3,CheToStack
11/30/2021 9:27,TCLU9877262,RTG23,349281,CheToTruck
11/30/2021 9:28,CAIU7646709,RTG17,251315,CheToTruck
11/30/2021 9:28,TCLU8609970,RTG22,MM5_490_A_5,CheToStack
11/30/2021 9:29,MSDU8076168,RTG28,CC5_482_E_3,CheToStack
11/30/2021 9:29,S0025365049,RTG25,113555,CheToTruck
11/30/2021 9:30,MSCU5413702,RTG23,EE1_178_B_3,CheToStack
11/30/2021 9:30,S0025365062,RTG27,EE5_530_E_1,CheToStack
11/30/2021 9:30,TCNU8996095,RTG28,314323,CheToTruck
11/30/2021 9:30,S0025365074,RTG27,EE5_530_E_2,CheToStack
11/30/2021 9:30,TRHU4828327,RTG16,226834,CheToTruck
11/30/2021 9:31,FCIU7420073,RTG17,333681,CheToTruck
11/30/2021 9:31,MEDU7269191,RTG23,EE1_178_C_4,CheToStack
11/30/2021 9:31,TCLU2028073,RTG25,86185,CheToTruck
11/30/2021 9:31,TCLU5477231,RTG26,EE3_398_E_4,CheToStack
11/30/2021 9:32,S0025364909,RTG24,Unknown,CheToTruck
11/30/2021 9:32,S0025365105,RTG25,DD6_655_F_1,CheToStack
11/30/2021 9:32,CAIU7778109,RTG23,EE1_178_F_4,CheToStack
11/30/2021 9:33,DRYU9668591,RTG26,307624,CheToTruck
11/30/2021 9:33,S0025365105,RTG25,DD6_655_F_1,CheToStack
11/30/2021 9:33,CAXU8042557,RTG16,MM5_564_E_1,CheToStack
11/30/2021 9:33,FCIU2126240,RTG17,219187,CheToTruck
11/30/2021 9:33,S0025365090,RTG27,226500,CheToTruck
11/30/2021 9:33,MSCU6006677,RTG28,CC5_485_A_1,CheToStack
11/30/2021 9:34,MRSU5179472,RTG22,MM5_490_B_3,CheToStack
11/30/2021 9:34,S0025365133,RTG25,DD6_655_F_2,CheToStack
11/30/2021 9:34,S0025365141,RTG21,60247,CheToTruck
11/30/2021 9:34,CAIU4753431,RTG23,230258,CheToTruck
11/30/2021 9:34,S0025365153,RTG25,DD6_655_E_1,CheToStack
11/30/2021 9:35,SMCU1061866,RTG16,MM5_564_E_2,CheToStack
11/30/2021 9:35,TCLU7568449,RTG25,DD6_655_E_2,CheToStack
11/30/2021 9:35,CAAU5790946,RTG22,149980,CheToTruck
11/30/2021 9:36,S0025365172,RTG26,256124,CheToTruck
11/30/2021 9:36,CAIU7778109,RTG23,EE1_178_E_1,CheToStack
11/30/2021 9:36,MSDU7370840,RTG16,MM5_564_E_3,CheToStack
11/30/2021 9:37,FBIU0186866,RTG27,346364,CheToTruck
11/30/2021 9:38,TCLU8609970,RTG22,MM5_490_E_2,CheToStack
11/30/2021 9:38,MSKU8884351,RTG16,347500,CheToTruck
11/30/2021 9:39,MSDU1945320,RTG28,CC3_455_C_3,CheToStack
